platform,score,link,userScore,releaseDate,Title,
3ds,94,https://www.metacritic.com/game/3ds/the-legend-of-zelda-ocarina-of-time-3d,9,2011-06-19,The Legend of Zelda: Ocarina of Time 3D,
3ds,92,https://www.metacritic.com/game/3ds/fire-emblem-awakening,9.1,2013-02-04,Fire Emblem: Awakening,
3ds,91,https://www.metacritic.com/game/3ds/the-legend-of-zelda-a-link-between-worlds,9,2013-11-22,The Legend of Zelda: A Link Between Worlds,
3ds,90,https://www.metacritic.com/game/3ds/shovel-knight,8.3,2014-06-26,Shovel Knight,
3ds,90,https://www.metacritic.com/game/3ds/super-mario-3d-land,8.4,2011-11-13,Super Mario 3D Land,
3ds,90,https://www.metacritic.com/game/3ds/pushmo,8.3,2011-12-08,Pushmo,
3ds,89,https://www.metacritic.com/game/3ds/the-legend-of-zelda-majoras-mask-3d,8.9,2015-02-13,The Legend of Zelda: Majora's Mask 3D,
3ds,89,https://www.metacritic.com/game/3ds/3d-gunstar-heroes,7.9,2015-08-20,3D Gunstar Heroes,
3ds,89,https://www.metacritic.com/game/3ds/3d-streets-of-rage-ii,7.5,2015-07-23,3D Streets of Rage II,
3ds,89,https://www.metacritic.com/game/3ds/colors!-3d,7.5,2012-04-05,Colors! 3D,
3ds,88,https://www.metacritic.com/game/3ds/zero-escape-virtues-last-reward,8.7,2012-10-23,Zero Escape: Virtue's Last Reward,
3ds,88,https://www.metacritic.com/game/3ds/fire-emblem-fates-special-edition,8.1,2016-02-19,Fire Emblem Fates: Special Edition,
3ds,88,https://www.metacritic.com/game/3ds/pokemon-y,7.5,2013-10-12,Pokemon Y,
3ds,88,https://www.metacritic.com/game/3ds/fire-emblem-fates-revelation,7.5,2016-03-10,Fire Emblem Fates: Revelation,
3ds,88,https://www.metacritic.com/game/3ds/animal-crossing-new-leaf,8.7,2013-06-09,Animal Crossing: New Leaf,
3ds,87,https://www.metacritic.com/game/3ds/pokemon-x,7.5,2013-10-12,Pokemon X,
3ds,87,https://www.metacritic.com/game/3ds/pokemon-sun,7.7,2016-11-18,Pokemon Sun,
3ds,87,https://www.metacritic.com/game/3ds/pokemon-moon,7.7,2016-11-18,Pokemon Moon,
3ds,87,https://www.metacritic.com/game/3ds/fire-emblem-fates-conquest,8.1,2016-02-19,Fire Emblem Fates: Conquest,
3ds,87,https://www.metacritic.com/game/3ds/3d-sonic-the-hedgehog-2,8.4,2015-10-08,3D Sonic the Hedgehog 2,
3ds,87,https://www.metacritic.com/game/3ds/3d-out-run,8.1,2015-03-12,3D Out Run,
3ds,86,https://www.metacritic.com/game/3ds/monster-hunter-4-ultimate,8.6,2015-02-13,Monster Hunter 4 Ultimate,
3ds,86,https://www.metacritic.com/game/3ds/picross-3d-round-2,7.5,2016-09-01,Picross 3D: Round 2,
3ds,86,https://www.metacritic.com/game/3ds/crashmo,8.2,2012-11-22,Crashmo,
3ds,86,https://www.metacritic.com/game/3ds/steamworld-heist,8.2,2015-12-10,SteamWorld Heist,
3ds,86,https://www.metacritic.com/game/3ds/luigis-mansion-dark-moon,8.5,2013-03-24,Luigi's Mansion: Dark Moon,
3ds,86,https://www.metacritic.com/game/3ds/xenoblade-chronicles-3d,8.8,2015-04-10,Xenoblade Chronicles 3D,
3ds,86,https://www.metacritic.com/game/3ds/fire-emblem-fates-birthright,8.2,2016-02-19,Fire Emblem Fates: Birthright,
3ds,85,https://www.metacritic.com/game/3ds/monster-hunter-generations,8,2016-07-15,Monster Hunter Generations,
3ds,85,https://www.metacritic.com/game/3ds/metroid-samus-returns,8.8,2017-09-15,Metroid: Samus Returns,
3ds,85,https://www.metacritic.com/game/3ds/dragon-quest-viii-journey-of-the-cursed-king,8.5,2017-01-20,Dragon Quest VIII: Journey of the Cursed King,
3ds,85,https://www.metacritic.com/game/3ds/super-street-fighter-iv-3d-edition,8,2011-03-27,Super Street Fighter IV: 3D Edition,
3ds,85,https://www.metacritic.com/game/3ds/bravely-default,8.4,2014-02-07,Bravely Default,
3ds,85,https://www.metacritic.com/game/3ds/super-smash-bros-for-nintendo-3ds,8.5,2014-10-03,Super Smash Bros. for Nintendo 3DS,
3ds,85,https://www.metacritic.com/game/3ds/mario-kart-7,8.2,2011-12-04,Mario Kart 7,
3ds,85,https://www.metacritic.com/game/3ds/radiant-historia-perfect-chronology,8.4,2018-02-13,Radiant Historia: Perfect Chronology,
3ds,84,https://www.metacritic.com/game/3ds/pokemon-ultra-sun,7.7,2017-11-17,Pokemon Ultra Sun,
3ds,84,https://www.metacritic.com/game/3ds/shin-megami-tensei-devil-survivor-2-record-breaker,4.1,2015-05-05,Shin Megami Tensei: Devil Survivor 2 Record Breaker,
3ds,84,https://www.metacritic.com/game/3ds/mario-luigi-bowsers-inside-story-+-bowser-jrs-journey,7.7,2019-01-11,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,
3ds,84,https://www.metacritic.com/game/3ds/etrian-odyssey-iv-legends-of-the-titan,8.3,2013-02-26,Etrian Odyssey IV: Legends of the Titan,
3ds,84,https://www.metacritic.com/game/3ds/pokemon-ultra-moon,7.7,2017-11-17,Pokemon Ultra Moon,
3ds,84,https://www.metacritic.com/game/3ds/shin-megami-tensei-iv-apocalypse,4.7,2016-09-20,Shin Megami Tensei IV: Apocalypse,
3ds,83,https://www.metacritic.com/game/3ds/kid-icarus-uprising,8.7,2012-03-23,Kid Icarus: Uprising,
3ds,83,https://www.metacritic.com/game/3ds/donkey-kong-country-returns-3d,8.3,2013-05-24,Donkey Kong Country Returns 3D,
3ds,83,https://www.metacritic.com/game/3ds/shin-megami-tensei-iv,6.3,2013-07-16,Shin Megami Tensei IV,
3ds,83,https://www.metacritic.com/game/3ds/persona-q-shadow-of-the-labyrinth,5.7,2014-11-25,Persona Q: Shadow of the Labyrinth,
3ds,83,https://www.metacritic.com/game/3ds/retro-city-rampage-dx,7.5,2014-02-06,Retro City Rampage DX,
3ds,83,https://www.metacritic.com/game/3ds/pocket-card-jockey,8,2016-05-05,Pocket Card Jockey,
3ds,83,https://www.metacritic.com/game/3ds/bye-bye-boxboy!,7.8,2017-04-12,BYE-BYE BOXBOY!,
3ds,83,https://www.metacritic.com/game/3ds/stretchmo,7.9,2015-05-14,Stretchmo,
3ds,83,https://www.metacritic.com/game/3ds/pokemon-omega-ruby,7.4,2014-11-21,Pokemon Omega Ruby,
3ds,83,https://www.metacritic.com/game/3ds/vvvvvv,8,2011-12-29,VVVVVV,
3ds,83,https://www.metacritic.com/game/3ds/rhythm-heaven-megamix,8.2,2016-06-15,Rhythm Heaven Megamix,
3ds,83,https://www.metacritic.com/game/3ds/theatrhythm-final-fantasy-curtain-call,8.2,2014-09-16,Theatrhythm Final Fantasy: Curtain Call,
3ds,82,https://www.metacritic.com/game/3ds/pokemon-alpha-sapphire,7.4,2014-11-21,Pokemon Alpha Sapphire,
3ds,82,https://www.metacritic.com/game/3ds/cave-story-3d,8.1,2011-11-08,Cave Story 3D,
3ds,82,https://www.metacritic.com/game/3ds/resident-evil-revelations,8.5,2012-02-07,Resident Evil: Revelations,
3ds,82,https://www.metacritic.com/game/3ds/professor-layton-and-the-miracle-mask,8.1,2012-10-28,Professor Layton and the Miracle Mask,
3ds,82,https://www.metacritic.com/game/3ds/etrian-odyssey-2-untold-the-fafnir-knight,7.9,2015-08-04,Etrian Odyssey 2 Untold: The Fafnir Knight,
3ds,82,https://www.metacritic.com/game/3ds/shantae-and-the-pirates-curse,8.6,2014-10-23,Shantae and the Pirate's Curse,
3ds,82,https://www.metacritic.com/game/3ds/skylanders-spyros-adventure,5,2011-10-16,Skylanders: Spyro's Adventure,
3ds,82,https://www.metacritic.com/game/3ds/gunman-clive,7.9,2013-01-03,Gunman Clive,
3ds,82,https://www.metacritic.com/game/3ds/art-of-balance-touch!,7.4,2012-06-07,Art of Balance Touch!,
3ds,82,https://www.metacritic.com/game/3ds/steamworld-dig,7.9,2013-08-08,SteamWorld Dig,
3ds,81,https://www.metacritic.com/game/3ds/siesta-fiesta,7.4,2014-07-24,Siesta Fiesta,
3ds,81,https://www.metacritic.com/game/3ds/kirby-planet-robobot,8.5,2016-06-10,Kirby: Planet Robobot,
3ds,81,https://www.metacritic.com/game/3ds/mario-luigi-superstar-saga-+-bowsers-minions,8.3,2017-10-06,Mario & Luigi: Superstar Saga + Bowser's Minions,
3ds,81,https://www.metacritic.com/game/3ds/art-academy-lessons-for-everyone,7.6,2012-10-01,Art Academy: Lessons for Everyone,
