title,platform,score,releaseDate,link
"2014 FIFA World Cup Brazil","xbox360",74,"2014-04-15","https://www.metacritic.com/game/xbox-360/2014-fifa-world-cup-brazil"
"50 Cent: Blood on the Sand","xbox360",71,"2009-02-24","https://www.metacritic.com/game/xbox-360/50-cent-blood-on-the-sand"
"A World of Keflings","xbox360",77,"2010-12-22","https://www.metacritic.com/game/xbox-360/a-world-of-keflings"
"Aces of the Galaxy","xbox360",71,"2008-06-04","https://www.metacritic.com/game/xbox-360/aces-of-the-galaxy"
"After Burner Climax","xbox360",72,"2010-04-21","https://www.metacritic.com/game/xbox-360/after-burner-climax"
"Age of Booty","xbox360",76,"2008-10-15","https://www.metacritic.com/game/xbox-360/age-of-booty"
"Akai Katana","xbox360",75,"2012-05-15","https://www.metacritic.com/game/xbox-360/akai-katana"
"Alan Wake's American Nightmare","xbox360",76,"2012-02-22","https://www.metacritic.com/game/xbox-360/alan-wakes-american-nightmare"
"Alan Wake: The Signal","xbox360",75,"2010-07-27","https://www.metacritic.com/game/xbox-360/alan-wake-the-signal"
"Alice: Madness Returns","xbox360",70,"2011-06-14","https://www.metacritic.com/game/xbox-360/alice-madness-returns"
"Alien Breed: Evolution","xbox360",69,"2009-12-16","https://www.metacritic.com/game/xbox-360/alien-breed-evolution"
"All-Pro Football 2K8","xbox360",75,"2007-07-16","https://www.metacritic.com/game/xbox-360/all-pro-football-2k8"
"Amped 3","xbox360",72,"2005-11-16","https://www.metacritic.com/game/xbox-360/amped-3"
"Anarchy Reigns","xbox360",73,"2013-01-08","https://www.metacritic.com/game/xbox-360/anarchy-reigns"
"Apache: Air Assault","xbox360",70,"2010-11-16","https://www.metacritic.com/game/xbox-360/apache-air-assault"
"Army of Two","xbox360",72,"2008-03-06","https://www.metacritic.com/game/xbox-360/army-of-two"
"Army of Two: The 40th Day","xbox360",73,"2010-01-12","https://www.metacritic.com/game/xbox-360/army-of-two-the-40th-day"
"Assassin's Creed III - The Infamy","xbox360",73,"2013-02-19","https://www.metacritic.com/game/xbox-360/assassins-creed-iii---the-infamy"
"Assassin's Creed Rogue","xbox360",72,"2014-11-11","https://www.metacritic.com/game/xbox-360/assassins-creed-rogue"
"Assassin's Creed: Brotherhood - The Da Vinci Disappearance","xbox360",75,"2011-03-08","https://www.metacritic.com/game/xbox-360/assassins-creed-brotherhood---the-da-vinci-disappearance"
"Assault Heroes 2","xbox360",75,"2008-05-14","https://www.metacritic.com/game/xbox-360/assault-heroes-2"
"Asura's Wrath","xbox360",71,"2012-02-21","https://www.metacritic.com/game/xbox-360/asuras-wrath"
"Awesomenauts","xbox360",77,"2012-05-02","https://www.metacritic.com/game/xbox-360/awesomenauts"
"Axel & Pixel","xbox360",72,"2009-10-14","https://www.metacritic.com/game/xbox-360/axel-pixel"
"Band Hero","xbox360",76,"2009-11-03","https://www.metacritic.com/game/xbox-360/band-hero"
"Bandfuse: Rock Legends","xbox360",73,"2013-11-19","https://www.metacritic.com/game/xbox-360/bandfuse-rock-legends"
"Banjo-Tooie","xbox360",73,"2009-04-29","https://www.metacritic.com/game/xbox-360/banjo-tooie"
"Batman: Arkham City - Harley Quinn's Revenge","xbox360",72,"2012-05-29","https://www.metacritic.com/game/xbox-360/batman-arkham-city---harley-quinns-revenge"
"Batman: Arkham Origins","xbox360",74,"2013-10-25","https://www.metacritic.com/game/xbox-360/batman-arkham-origins"
"Batman: Arkham Origins - Cold, Cold Heart","xbox360",71,"2014-04-22","https://www.metacritic.com/game/xbox-360/batman-arkham-origins---cold-cold-heart"
"Battle Fantasia","xbox360",71,"2008-09-16","https://www.metacritic.com/game/xbox-360/battle-fantasia"
"Battlefield 3: Close Quarters","xbox360",72,"2012-06-26","https://www.metacritic.com/game/xbox-360/battlefield-3-close-quarters"
"Battlestations: Midway","xbox360",73,"2007-01-30","https://www.metacritic.com/game/xbox-360/battlestations-midway"
"Battlestations: Pacific","xbox360",76,"2009-05-12","https://www.metacritic.com/game/xbox-360/battlestations-pacific"
"Beautiful Katamari","xbox360",73,"2007-10-16","https://www.metacritic.com/game/xbox-360/beautiful-katamari"
"Bee Movie Game","xbox360",71,"2007-10-30","https://www.metacritic.com/game/xbox-360/bee-movie-game"
"Binary Domain","xbox360",74,"2012-02-28","https://www.metacritic.com/game/xbox-360/binary-domain"
"Bionic Commando","xbox360",70,"2009-05-18","https://www.metacritic.com/game/xbox-360/bionic-commando"
"Blazing Angels 2: Secret Missions of WWII","xbox360",72,"2007-09-18","https://www.metacritic.com/game/xbox-360/blazing-angels-2-secret-missions-of-wwii"
"Blood of the Werewolf","xbox360",75,"2014-06-11","https://www.metacritic.com/game/xbox-360/blood-of-the-werewolf"
"Bomberman Live: Battlefest","xbox360",70,"2010-12-08","https://www.metacritic.com/game/xbox-360/bomberman-live-battlefest"
"Borderlands 2: Sir Hammerlock's Big Game Hunt","xbox360",72,"2013-01-15","https://www.metacritic.com/game/xbox-360/borderlands-2-sir-hammerlocks-big-game-hunt"
"Borderlands: Claptrap's New Robot Revolution","xbox360",72,"2010-09-28","https://www.metacritic.com/game/xbox-360/borderlands-claptraps-new-robot-revolution"
"Borderlands: The Pre-Sequel","xbox360",74,"2014-10-14","https://www.metacritic.com/game/xbox-360/borderlands-the-pre-sequel"
"Boulder Dash-XL","xbox360",71,"2011-07-13","https://www.metacritic.com/game/xbox-360/boulder-dash-xl"
"Brothers in Arms: Hell's Highway","xbox360",76,"2008-09-23","https://www.metacritic.com/game/xbox-360/brothers-in-arms-hells-highway"
"Bubble Bobble Neo!","xbox360",70,"2009-09-16","https://www.metacritic.com/game/xbox-360/bubble-bobble-neo!"
"Call of Duty Classic","xbox360",72,"2009-12-02","https://www.metacritic.com/game/xbox-360/call-of-duty-classic"
"Call of Duty: Black Ops - Rezurrection","xbox360",70,"2011-08-23","https://www.metacritic.com/game/xbox-360/call-of-duty-black-ops---rezurrection"
"Call of Duty: Black Ops II - Apocalypse","xbox360",70,"2013-08-27","https://www.metacritic.com/game/xbox-360/call-of-duty-black-ops-ii---apocalypse"
"Call of Duty: Black Ops II - Revolution","xbox360",75,"2013-01-29","https://www.metacritic.com/game/xbox-360/call-of-duty-black-ops-ii---revolution"
"Call of Duty: Black Ops II - Uprising","xbox360",76,"2013-04-16","https://www.metacritic.com/game/xbox-360/call-of-duty-black-ops-ii---uprising"
"Call of Duty: Ghosts","xbox360",73,"2013-11-05","https://www.metacritic.com/game/xbox-360/call-of-duty-ghosts"
"Call of Juarez","xbox360",71,"2007-06-07","https://www.metacritic.com/game/xbox-360/call-of-juarez"
"Call of Juarez: Gunslinger","xbox360",76,"2013-05-22","https://www.metacritic.com/game/xbox-360/call-of-juarez-gunslinger"
"CAPSIZED","xbox360",74,"2013-07-05","https://www.metacritic.com/game/xbox-360/capsized"
"Cars 2: The Video Game","xbox360",72,"2011-06-21","https://www.metacritic.com/game/xbox-360/cars-2-the-video-game"
"Castlevania: Lords of Shadow - Mirror of Fate HD","xbox360",73,"2013-10-25","https://www.metacritic.com/game/xbox-360/castlevania-lords-of-shadow---mirror-of-fate-hd"
"Castlevania: Lords of Shadow 2","xbox360",70,"2014-02-25","https://www.metacritic.com/game/xbox-360/castlevania-lords-of-shadow-2"
"CellFactor: Psychokinetic Wars","xbox360",70,"2009-06-03","https://www.metacritic.com/game/xbox-360/cellfactor-psychokinetic-wars"
"Chessmaster LIVE","xbox360",76,"2008-01-30","https://www.metacritic.com/game/xbox-360/chessmaster-live"
"Chromehounds","xbox360",71,"2006-07-11","https://www.metacritic.com/game/xbox-360/chromehounds"
"College Hoops 2K6","xbox360",70,"2006-03-07","https://www.metacritic.com/game/xbox-360/college-hoops-2k6"
"Comic Jumper: The Adventures of Captain Smiley","xbox360",74,"2010-10-06","https://www.metacritic.com/game/xbox-360/comic-jumper-the-adventures-of-captain-smiley"
"Command & Conquer 3: Kane's Wrath","xbox360",75,"2008-06-23","https://www.metacritic.com/game/xbox-360/command-conquer-3-kanes-wrath"
"Command & Conquer: Red Alert 3 - Commander's Challenge","xbox360",72,"2009-09-16","https://www.metacritic.com/game/xbox-360/command-conquer-red-alert-3---commanders-challenge"
"Commanders: Attack of the Genos","xbox360",72,"2008-02-13","https://www.metacritic.com/game/xbox-360/commanders-attack-of-the-genos"
"Costume Quest","xbox360",74,"2010-10-20","https://www.metacritic.com/game/xbox-360/costume-quest"
"Crackdown 2","xbox360",70,"2010-07-06","https://www.metacritic.com/game/xbox-360/crackdown-2"
"Crimson Alliance","xbox360",72,"2011-09-07","https://www.metacritic.com/game/xbox-360/crimson-alliance"
"Crysis 3","xbox360",76,"2013-02-19","https://www.metacritic.com/game/xbox-360/crysis-3"
"Culdcept Saga","xbox360",75,"2008-02-05","https://www.metacritic.com/game/xbox-360/culdcept-saga"
"Dance Dance Revolution Universe","xbox360",74,"2007-02-27","https://www.metacritic.com/game/xbox-360/dance-dance-revolution-universe"
"Dante's Inferno","xbox360",73,"2010-02-09","https://www.metacritic.com/game/xbox-360/dantes-inferno"
"Dark Sector","xbox360",72,"2008-03-25","https://www.metacritic.com/game/xbox-360/dark-sector"
"de Blob 2","xbox360",77,"2011-02-22","https://www.metacritic.com/game/xbox-360/de-blob-2"
"Dead Island","xbox360",71,"2011-09-06","https://www.metacritic.com/game/xbox-360/dead-island"
"Dead or Alive 5","xbox360",76,"2012-09-25","https://www.metacritic.com/game/xbox-360/dead-or-alive-5"
"Dead or Alive 5 Ultimate","xbox360",75,"2013-09-03","https://www.metacritic.com/game/xbox-360/dead-or-alive-5-ultimate"
"Dead Rising 2: Case West","xbox360",74,"2010-12-27","https://www.metacritic.com/game/xbox-360/dead-rising-2-case-west"
"Dead Rising 2: Off the Record","xbox360",72,"2011-10-11","https://www.metacritic.com/game/xbox-360/dead-rising-2-off-the-record"
"Deathsmiles","xbox360",76,"2010-06-29","https://www.metacritic.com/game/xbox-360/deathsmiles"
"Def Jam Rapstar","xbox360",74,"2010-10-05","https://www.metacritic.com/game/xbox-360/def-jam-rapstar"
