platform,Title,Score,compatibility,link,user score,release date,Price,price charting id,,release year,score tier,score pctl,price tier,price pctl,points per dollar,ppd 69,
3ds,The Legend of Zelda: Ocarina of Time 3D,94,,https://www.metacritic.com/game/3ds/the-legend-of-zelda-ocarina-of-time-3d,9,"Jun 19, 2011",,,,2011,,,,,,,
3ds,Fire Emblem: Awakening,92,,https://www.metacritic.com/game/3ds/fire-emblem-awakening,9.1,"Feb 4, 2013",,,,2013,,,,,,,
3ds,The Legend of Zelda: A Link Between Worlds,91,,https://www.metacritic.com/game/3ds/the-legend-of-zelda-a-link-between-worlds,9,"Nov 22, 2013",,,,2013,,,,,,,
3ds,Shovel Knight,90,,https://www.metacritic.com/game/3ds/shovel-knight,8.3,"Jun 26, 2014",,,,2014,,,,,,,
3ds,Super Mario 3D Land,90,,https://www.metacritic.com/game/3ds/super-mario-3d-land,8.4,"Nov 13, 2011",,,,2011,,,,,,,
3ds,Pushmo,90,,https://www.metacritic.com/game/3ds/pushmo,8.3,"Dec 8, 2011",,,,2011,,,,,,,
3ds,The Legend of Zelda: Majora's Mask 3D,89,,https://www.metacritic.com/game/3ds/the-legend-of-zelda-majoras-mask-3d,8.9,"Feb 13, 2015",,,,2015,,,,,,,
3ds,3D Gunstar Heroes,89,,https://www.metacritic.com/game/3ds/3d-gunstar-heroes,7.9,"Aug 20, 2015",,,,2015,,,,,,,
3ds,3D Streets of Rage II,89,,https://www.metacritic.com/game/3ds/3d-streets-of-rage-ii,7.5,"Jul 23, 2015",,,,2015,,,,,,,
3ds,Colors! 3D,89,,https://www.metacritic.com/game/3ds/colors!-3d,7.5,"Apr 5, 2012",,,,2012,,,,,,,
3ds,Zero Escape: Virtue's Last Reward,88,,https://www.metacritic.com/game/3ds/zero-escape-virtues-last-reward,8.7,"Oct 23, 2012",,,,2012,,,,,,,
3ds,Fire Emblem Fates: Special Edition,88,,https://www.metacritic.com/game/3ds/fire-emblem-fates-special-edition,8.1,"Feb 19, 2016",,,,2016,,,,,,,
3ds,Pokemon Y,88,,https://www.metacritic.com/game/3ds/pokemon-y,7.5,"Oct 12, 2013",,,,2013,,,,,,,
